achat_id,client_id,produit,catégorie,quantité,prix_unitaire,montant_total,achat_effectue,segment,date_achat,retour,note_satisfaction,propension_achat,canal_achat,moyen_paiement,campagne_marketing,nom,âge,sexe,ville
1,C44083,Shampoing,Hygiène,4,3061,12244,1,Champions,2023-01-19,0,5,0.48,Mobile,Espèces,Oui,Gabrielle-Adélaïde Berthelot,23,F,Douala
2,C29414,Huile 1L,Alimentaire,1,3417,3417,1,Potentiels,2019-08-08,0,4,0.75,En ligne,Mobile Money,Non,Gabrielle Torres,18,M,Douala
3,C42002,Biscuits,Alimentaire,2,4392,8784,1,Potentiels,2021-02-11,0,3,0.78,En ligne,Espèces,Non,Henriette Techer,63,M,Yaoundé
4,C25498,Vitamines,Santé,3,10158,30474,1,Potentiels,2023-01-24,0,5,0.59,En ligne,Espèces,Non,Madeleine-Suzanne Leduc,69,F,Douala
5,C18466,Biscuits,Alimentaire,2,3132,6264,1,Champions,2019-10-09,0,4,0.59,Magasin,Mobile Money,Non,Daniel Carlier,32,M,Yaoundé
0,C16187,Abonnement Canal+,Services,0,5000,0,0,À risque,2022-06-25,0,2,0.91,0,Carte bancaire,Non,Thomas Hamel,55,F,Douala
6,C54491,Gel douche,Hygiène,4,1108,4432,1,À risque,2021-04-19,0,1,0.1,Magasin,Carte bancaire,Non,Martine Dupont-Perez,51,M,Yaoundé
7,C00085,Riz 5kg,Alimentaire,2,3851,7702,1,Potentiels,2019-04-16,0,2,0.91,Magasin,Mobile Money,Non,Xavier Pierre,25,F,Yaoundé
8,C15321,Riz 5kg,Alimentaire,4,2389,9556,1,Perdus,2021-09-02,0,4,0.22,Mobile,Mobile Money,Oui,Nath Dupuy,33,M,Garoua
9,C01411,Huile 1L,Alimentaire,3,2767,8301,1,À risque,2023-09-05,0,1,0.24,Mobile,Mobile Money,Non,Céline Gilles,20,M,Douala
10,C23718,Jus naturel,Alimentaire,4,4976,19904,1,Perdus,2023-12-29,0,3,0.61,Magasin,Mobile Money,Non,Étienne Pinto,30,M,Douala
11,C52009,Mixeur,Électroménager,2,275916,551832,1,Potentiels,2019-05-03,0,2,0.54,En ligne,Espèces,Non,Amélie Schmitt,40,M,Yaoundé
12,C01232,Riz 5kg,Alimentaire,4,2056,8224,1,Fidèles,2019-02-04,0,1,0.05,En ligne,Carte bancaire,Non,Édouard Le Gomez,46,M,Douala
13,C49334,Biscuits,Alimentaire,2,2009,4018,1,Potentiels,2022-06-11,0,3,0.48,Magasin,Mobile Money,Oui,Claudine Martin de Mercier,35,F,Douala
14,C08739,Rideaux,Maison,5,91837,459185,1,Fidèles,2021-05-07,0,2,0.99,Magasin,Espèces,Non,Thibaut Leduc,61,F,Douala
15,C52269,Savon,Hygiène,3,4986,14958,1,Perdus,2021-10-22,0,2,0.53,Magasin,Mobile Money,Non,Hélène Paul,21,M,Yaoundé
16,C34310,Jus naturel,Alimentaire,5,1316,6580,1,À risque,2023-01-13,0,2,0.49,Magasin,Espèces,Non,Louise Auger,22,F,Bafoussam
